,name,trip_link,website,phone,email,city,address,stars
0,Singer Palace Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d13393444-Reviews-Singer_Palace_Hotel-Rome_Lazio.html,singerpalacehotel.com,+39 06 697 6161,singer@singerpalacehotel.com,Rome,"Via Alessandro Specchi 10, 00186 Rome Italy",5
1,NH Collection Roma Fori Imperiali,https://www.tripadvisor.com/Hotel_Review-g187791-d17506625-Reviews-NH_Collection_Roma_Fori_Imperiali-Rome_Lazio.html,www.nh-hotels.com,0034916008321,customercare@nh-hotels.com,Rome,"Via di Santa Eufemia 19, 00187 Rome Italy",5
2,"Rome Cavalieri, A Waldorf Astoria Hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d190138-Reviews-Rome_Cavalieri_A_Waldorf_Astoria_Hotel-Rome_Lazio.html,www.hilton.com,+39-06-35091,nothing,Rome,"Via Alberto Cadlolo 101, 00136 Rome Italy",5
3,NH Collection Roma Palazzo Cinquecento,https://www.tripadvisor.com/Hotel_Review-g187791-d8865999-Reviews-NH_Collection_Roma_Palazzo_Cinquecento-Rome_Lazio.html,www.nh-hotels.com,0034916008321,customercare@nh-hotels.com,Rome,"Piazza dei Cinquecento, 90, 00185 Rome Italy",5
4,"Hotel de la Ville, A Rocco Forte Hotel",https://www.tripadvisor.com/Hotel_Review-g187791-d17399393-Reviews-Hotel_de_la_Ville_A_Rocco_Forte_Hotel-Rome_Lazio.html,www.roccofortehotels.com,+39 06 977931,reservations.delaville@roccofortehotels.com,Rome,"Via Sistina 69, 00187 Rome Italy",5
5,Anantara Palazzo Naiadi Rome Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d275876-Reviews-Anantara_Palazzo_Naiadi_Rome_Hotel-Rome_Lazio.html,www.anantarahotels.com,Ask a question,nothing,Rome,"Piazza della Repubblica 47, 00185 Rome Italy",5
6,Hotel Vilon,https://www.tripadvisor.com/Hotel_Review-g187791-d12673753-Reviews-Hotel_Vilon-Rome_Lazio.html,www.hotelvilon.com,+39 06 878187,info@hotelvilon.com,Rome,"Via Dell' Arancio 69, 00186 Rome Italy",5
7,"Aleph Rome Hotel, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g187791-d270031-Reviews-Aleph_Rome_Hotel_Curio_Collection_by_Hilton-Rome_Lazio.html,www.hilton.com,+39-06-4229001,nothing,Rome,"Via di San Basilio 15, 00187 Rome Italy",5
8,Gasometer Urban Suites,https://www.tripadvisor.com/Hotel_Review-g187791-d13794626-Reviews-Gasometer_Urban_Suites-Rome_Lazio.html,www.gasometerurbansuites.com,+39 06 9151 8300,info@gusrome.com,Rome,"Via del Porto Fluviale 35/37, 00154 Rome Italy",5
9,Sofitel Roma Villa Borghese Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d229019-Reviews-Sofitel_Roma_Villa_Borghese_Hotel-Rome_Lazio.html,all.accor.com,+39 06 478021,H1312@SOFITEL.COM,Rome,"Via Lombardia 47, 00187 Rome Italy",5
10,Villa Agrippina Gran Melia,https://www.tripadvisor.com/Hotel_Review-g187791-d2163417-Reviews-Villa_Agrippina_Gran_Melia-Rome_Lazio.html,booking.melia.com,Ask a question,nothing,Rome,"Via del Gianicolo 3, 00165 Rome Italy",5
11,J.K. Place Roma,https://www.tripadvisor.com/Hotel_Review-g187791-d3929140-Reviews-J_K_Place_Roma-Rome_Lazio.html,nothing,nothing,nothing,Rome,"Via Di Monte D'Oro 30, 00186 Rome Italy",5
